scene,n_errors,signal,aurc,eaurc,diff_vs_baseline,diff_ci_lo,diff_ci_hi,frac_better
barotse,97,baseline,0.06842230957080087,0.06374072895973824,,,,
barotse,97,E_case,0.023502565210671643,0.01882098459960902,-0.04491974436012922,-0.07979631874442579,-0.01745826529248402,1.0
barotse,97,tile-phase (aligned),0.012743882687091798,0.008062302076029178,-0.05567842688370907,-0.0952897464714511,-0.020384871577705653,1.0
barotse,97,"tile-phase (unaligned, exp11)",0.05502765634619893,0.05034607573513631,-0.013394653224601934,-0.028486428465312165,0.003103077827278081,0.933
barotse,97,E_dist,0.028942336953582955,0.024260756342520333,-0.03947997261721791,-0.08009731788582271,-0.0033421159285891362,0.985
barotse,97,control,0.038420413241965136,0.033738832630902514,-0.03000189632883573,-0.07804002772640717,0.014039005819417562,0.883
cuando_20,49,baseline,0.003492307494351499,0.002305352845290396,,,,
cuando_20,49,E_case,0.0074817206879762,0.006294766038915097,0.003989413193624701,0.0012180869811668367,0.007856197783816112,0.001
cuando_20,49,tile-phase (aligned),0.0024833668032335212,0.0012964121541724181,-0.0010089406911179778,-0.0021697424127324625,-0.00012796046415126065,0.99
cuando_20,49,"tile-phase (unaligned, exp11)",0.004329901936241652,0.0031429472871805485,0.0008375944418901526,-0.00021425616209649962,0.0022682159977067983,0.073
cuando_20,49,E_dist,0.0038801404351342735,0.0026931857860731704,0.00038783294078277445,-0.0008259021428006254,0.0017154883249992344,0.255
cuando_20,49,control,0.009235296809769557,0.008048342160708453,0.0057429893154180576,-0.0013664773042118194,0.019539585833584852,0.272
cuando_50,168,baseline,0.053628186579084136,0.03928680150979784,,,,
cuando_50,168,E_case,0.0794482343208642,0.0651068492515779,0.025820047741780067,0.0003516170500344578,0.05346187151639735,0.023
cuando_50,168,tile-phase (aligned),0.027653018117122785,0.013311633047836485,-0.025975168461961354,-0.04167797839148789,-0.013135632726857733,1.0
cuando_50,168,"tile-phase (unaligned, exp11)",0.041173231350770806,0.026831846281484505,-0.012454955228313334,-0.023407774834503747,-0.0037923058601484066,0.998
cuando_50,168,E_dist,0.018887044728313415,0.004545659659027115,-0.03474114185077072,-0.05429078436904069,-0.018807479417814122,1.0
cuando_50,168,control,0.03158526610926906,0.01724388103998276,-0.02204292046981508,-0.04375610526619098,-0.0015080892717824592,0.98
cuando_80,61,baseline,0.007191473052422914,0.005351764143434398,,,,
cuando_80,61,E_case,0.015532406947478216,0.013692698038489699,0.0083409338950553,0.0027799922005116114,0.01584752559861259,0.0
cuando_80,61,tile-phase (aligned),0.005029326581566428,0.003189617672577911,-0.0021621464708564873,-0.0063164774653669455,0.00030412158524177206,0.919
cuando_80,61,"tile-phase (unaligned, exp11)",0.0074685843383068065,0.0056288754293182895,0.00027711128588389124,-0.0033824071372752654,0.0033019814176195113,0.396
cuando_80,61,E_dist,0.009248947182083089,0.0074092382730945715,0.0020574741296601733,-0.0043216925733140605,0.007837769661504335,0.246
cuando_80,61,control,0.009273066998781571,0.007433358089793054,0.002081593946358656,-0.0035300208402927,0.01059076417981424,0.312
delta,29,baseline,0.023393926188864596,0.022975242223047705,,,,
delta,29,E_case,0.010348685715357239,0.009930001749540349,-0.013045240473507356,-0.02831945434262884,-0.0025598173570731855,0.994
delta,29,tile-phase (aligned),0.0008550506165491231,0.00043636665073223295,-0.022538875572315473,-0.04663764203916656,-0.00550646806883269,1.0
delta,29,"tile-phase (unaligned, exp11)",0.007599244526857769,0.007180560561040879,-0.015794681662006826,-0.03357462702735418,-0.0015771255097064448,0.996
delta,29,E_dist,0.001397559960222627,0.0009788759944057367,-0.02199636622864197,-0.046491947360564896,-0.004709421323051771,0.995
